objid,ra,dec,u,g,r,i,z
1237646586638762925,86.30275908,-0.197644774,23.5217,21.86689,20.35069,19.41443,18.92879
1237646586638828073,86.42725264,-0.109604827,24.5068,21.8435,19.88107,18.8397,18.11842
1237646586639024639,86.90246034,-0.004947116,23.07534,21.5663,19.84901,18.93034,18.24257
1237646586639024712,86.83418473,-0.168079353,23.98108,21.70079,20.11567,19.31016,18.80308
1237646586639090190,86.98268643,-0.045824616,24.8898,21.50381,19.61687,18.58067,17.76078
1237646586639090347,87.01077927,-0.071147253,23.60254,21.67126,20.55483,19.87349,19.31388
1237646586639418257,87.71218693,-0.152172511,23.66221,21.50113,20.45778,19.83396,19.37432
1237646586639483777,87.86378823,-0.017880867,22.47483,21.10536,19.9534,19.49897,19.09023
1237646586640795050,90.85201653,-0.187467568,25.56051,23.36912,21.66417,20.9514,21.41328
1237646587168882986,70.89798818,0.266073198,19.92514,19.3435,18.99959,18.93239,18.80065
1237646587168948725,71.08360753,0.230187986,20.99855,20.17748,19.94708,19.80672,19.39611
1237646587169079786,71.31728537,0.308881967,21.13996,20.64799,20.52633,20.03923,19.79465
1237646587169211028,71.61921328,0.252609429,21.18242,20.15932,19.93078,19.84019,19.87346
1237646587169276575,71.79882054,0.403852065,21.10451,20.52438,20.48339,20.42887,19.95521
1237646587169342114,71.98390965,0.369425141,21.41844,20.37117,20.20218,20.05543,19.88112
1237646587169538535,72.39715968,0.302211516,20.06398,19.55099,20.0591,19.31807,18.99066
1237646587169538698,72.39761436,0.332700149,20.46177,20.25265,20.06602,19.80957,19.87817
1237646587169669645,72.71011135,0.300231337,20.41976,19.70616,19.48317,19.42817,19.19226
1237646587169735317,72.74943,0.391355472,20.50134,20.15316,20.18838,20.26103,20.35826
1237646587169931802,73.30159506,0.390147772,20.57879,20.40981,20.14281,19.92705,19.83943
1237646587173470818,81.4194126,0.379345497,21.38765,20.67047,19.95555,19.51244,19.26097
1237646587175568433,86.17148724,0.241846365,23.81506,21.08538,19.22989,18.22577,17.63576
1237646587175699107,86.42532602,0.365390289,25.04067,22.28842,20.44383,19.40829,18.65874
1237646587175699432,86.47664145,0.309936211,21.81182,21.29759,19.79816,18.64839,17.68368
1237646587175764204,86.56391782,0.228460031,24.02691,22.1939,20.2966,19.26098,18.45737
1237646587175961133,87.02700388,0.246051272,22.13326,21.55068,19.67994,18.63633,17.70543
1237646587175961245,87.09198744,0.366035417,18.49817,20.04396,17.26568,18.78337,18.64643
1237646587176026398,87.14495695,0.264512454,22.93962,20.87801,19.15595,18.01219,17.13599
1237646587176158599,87.46731235,0.2259004,19.77466,20.17579,18.42547,17.47574,16.34311
1237646587176288669,87.71913439,0.234126982,20.53128,18.87923,17.97139,17.52661,17.19457
1237646587176354450,88.00698139,0.346208935,21.82348,19.84625,18.80805,18.27392,17.89174
1237646587177600814,90.77138525,0.253930573,24.36531,22.31064,20.38879,19.36682,18.76627
1237646587177732226,91.08642564,0.247716669,24.6255,22.45014,20.52967,19.25429,18.50007
1237646587694743568,45.65744881,0.843262705,24.63435,21.21582,19.98613,19.58629,19.49017
1237646587709883073,80.35658979,0.745757926,20.35383,20.1086,19.80237,19.8364,19.96902
1237646587710341717,81.29995251,0.732651429,19.31822,18.97407,18.2752,17.80656,17.56645
1237646587710473018,81.70570042,0.72622338,20.07291,19.9482,19.6396,19.6826,18.91267
1237646587710537808,81.73211999,0.755927607,20.18746,19.86092,19.29824,19.09008,18.39352
1237646587710539083,81.72108947,0.830818857,24.30445,21.31203,20.195,19.75888,19.62313
1237646587712242742,85.71881239,0.667694973,22.39539,21.23489,20.39135,20.04263,19.81089
1237646587712439977,86.16890536,0.641721008,22.84774,20.84002,19.999,19.65176,19.3885
1237646587712570140,86.44221567,0.730063257,22.12515,20.93788,19.91564,19.63877,19.4474
1237646587712635336,86.56999826,0.840121881,24.10283,21.32498,18.98373,17.67477,16.74275
1237646587712766071,86.9123557,0.643412934,21.79459,20.6152,18.64239,18.26992,17.55793
1237646587712962691,87.37763613,0.665285024,24.72804,22.57736,20.2378,19.66211,19.22604
1237646587712963624,87.35616494,0.750248232,23.2438,21.47294,20.3223,19.65754,19.22817
1237646587713094912,87.6843447,0.841045376,23.07538,21.77544,20.71626,20.17923,19.68075
1237646587713750483,89.17869366,0.77838105,25.72779,22.50624,20.50311,19.42533,18.68997
1237646588246753571,80.33558352,1.214414245,18.77052,18.10872,17.58327,17.1724,16.93768
1237646588246950058,80.73015756,1.229789303,19.85432,19.43548,19.14084,24.3618,22.8269
1237646588246950062,80.79654274,1.20981436,24.6346,25.11435,24.802,24.36178,17.72787
