Wavelength,Flux,BestFit,SkyFlux
4146.675,11.339,9.504,6.263
4147.630,10.516,9.950,6.156
4148.585,11.003,9.820,6.173
4149.540,10.800,10.016,6.313
4150.496,10.097,9.957,6.390
4151.452,8.511,9.552,6.491
4152.408,6.810,9.457,6.922
4153.364,9.506,9.439,7.405
4154.321,10.792,9.077,7.949
4155.277,5.364,8.975,8.111
4156.234,9.211,9.306,7.791
4157.191,10.967,9.047,7.454
4158.149,9.591,8.811,7.875
4159.106,7.497,8.811,8.357
4160.064,8.445,8.760,7.987
4161.022,9.722,8.696,7.632
4161.980,8.254,8.596,8.156
4162.939,8.747,8.627,8.750
4163.897,9.437,9.017,8.840
4164.856,10.655,9.560,9.189
4165.815,13.745,9.999,8.943
4166.775,10.028,10.449,8.149
4167.734,10.934,10.593,7.919
4168.694,10.670,10.922,8.496
4169.654,9.807,11.124,8.900
4170.614,12.333,11.110,8.458
4171.574,13.295,11.160,8.005
4172.535,11.063,11.447,8.762
4173.496,11.174,11.702,8.939
4174.457,10.809,11.354,7.539
4175.418,11.470,11.339,6.550
4176.380,13.996,11.657,7.010
4177.342,12.278,11.643,7.370
4178.304,13.302,11.433,7.536
4179.266,10.640,11.569,7.627
4180.228,10.864,11.336,7.283
4181.191,11.439,11.307,6.440
4182.154,10.820,11.712,5.991
4183.117,11.375,12.240,6.323
4184.080,11.959,12.668,6.798
4185.044,11.761,12.844,6.695
4186.007,13.103,13.068,6.240
4186.971,11.346,13.186,6.413
4187.936,12.892,13.284,6.560
4188.900,11.225,13.476,6.145
4189.865,12.107,13.444,6.253
4190.830,13.478,13.121,7.195
4191.795,11.251,12.970,7.524
4192.760,9.457,13.029,7.026
4193.725,12.840,12.798,7.029
4194.691,14.172,12.131,7.664
4195.657,9.915,11.849,7.463
4196.623,12.812,11.782,6.804
4197.590,10.017,11.391,6.647
4198.556,11.150,11.158,6.181
4199.523,10.047,11.107,5.666
4200.490,11.104,10.986,5.810
4201.458,11.335,10.910,5.872
4202.425,8.675,10.290,5.665
4203.393,6.463,9.518,5.258
4204.361,8.657,8.924,4.941
4205.329,11.609,8.329,5.090
4206.298,9.357,7.472,5.765
4207.266,5.738,6.537,6.458
4208.235,6.874,5.663,6.920
4209.204,4.699,5.048,7.003
4210.174,6.632,4.700,6.419
4211.143,6.785,4.458,6.163
4212.113,5.493,4.487,6.302
4213.083,7.279,5.340,6.223
4214.053,7.141,6.087,6.181
4215.023,6.849,6.699,6.209
4215.994,7.289,7.423,5.709
4216.965,7.978,8.140,5.672
4217.936,9.042,8.750,6.618
4218.907,8.185,9.493,6.888
4219.879,9.481,9.663,5.846
4220.851,9.455,9.915,5.720
4221.823,8.772,10.179,6.105
4222.795,14.493,10.514,5.897
4223.767,12.955,11.015,6.072
4224.740,10.270,11.375,6.572
4225.713,12.270,11.801,6.290
4226.686,12.682,12.013,5.182
4227.659,11.716,12.310,4.409
4228.633,11.666,12.747,4.509
4229.607,10.622,12.994,4.915
4230.581,13.388,12.862,5.121
4231.555,15.046,12.997,5.561
4232.530,12.537,13.028,6.123
4233.504,12.938,12.868,5.991
4234.479,12.227,12.728,5.527
4235.454,11.191,12.625,5.904
4236.430,8.636,12.238,6.262
4237.405,8.924,12.191,6.050
4238.381,11.271,11.672,5.735
4239.357,10.613,10.904,5.681
4240.333,8.444,10.117,5.758
4241.310,9.050,9.397,5.664
4242.287,9.671,8.904,5.498
4243.263,12.548,8.036,5.463
4244.241,8.975,7.050,5.660
4245.218,4.890,6.369,6.218
4246.196,6.708,5.790,7.163
4247.173,7.473,5.152,8.033
4248.152,5.984,5.021,7.882
4249.130,5.598,5.001,6.986
4250.108,7.449,5.497,6.419
4251.087,7.925,6.222,6.471
4252.066,6.573,6.985,6.710
4253.045,7.553,7.768,6.732
4254.025,8.723,8.511,6.733
4255.004,9.367,9.566,6.618
4255.984,7.455,10.473,7.264
4256.964,8.209,11.151,7.328
4257.945,9.990,11.826,7.216
4258.925,13.166,12.594,7.174
4259.906,15.049,13.163,6.701
4260.887,13.323,13.605,6.372
4261.868,12.563,13.925,6.397
4262.849,13.419,14.084,6.399
4263.831,12.434,14.190,6.383
4264.813,12.014,14.338,6.769
4265.795,13.497,14.491,7.276
4266.778,12.257,15.059,7.463
4267.760,11.269,14.923,7.149
4268.743,16.699,14.942,6.486
4269.726,15.856,15.373,6.197
4270.709,13.363,15.671,6.502
4271.693,13.824,15.724,6.829
