Wavelength,Flux,BestFit,SkyFlux
3797.519,2.257,3.045,2.815
3798.394,5.578,3.033,2.363
3799.269,3.733,2.977,2.001
3800.144,2.716,3.029,2.040
3801.019,4.125,3.077,2.336
3801.894,3.837,3.014,2.583
3802.769,4.401,3.040,2.847
3803.645,2.622,3.054,2.950
3804.521,2.764,3.050,2.965
3805.397,3.280,3.028,2.890
3806.274,3.813,3.010,2.762
3807.150,4.597,3.007,2.488
3808.027,1.983,3.003,2.497
3808.904,2.439,3.039,2.471
3809.781,2.977,3.052,2.594
3810.658,2.999,3.029,2.381
3811.536,2.623,3.024,2.455
3812.414,2.148,3.068,2.696
3813.291,3.025,3.093,3.134
3814.170,3.037,3.058,3.275
3815.048,1.648,3.019,3.487
3815.926,1.077,2.995,3.274
3816.805,2.252,3.016,3.145
3817.684,3.530,3.063,3.188
3818.563,3.089,3.062,3.234
3819.443,4.509,3.122,3.193
3820.322,2.813,3.064,2.927
3821.202,3.317,2.996,2.444
3822.082,5.191,3.010,2.501
3822.962,3.386,3.052,2.582
3823.843,3.196,2.999,2.778
3824.723,3.828,2.933,2.894
3825.604,2.617,2.975,2.644
3826.485,2.448,3.039,2.196
3827.366,3.142,3.030,2.421
3828.247,2.513,2.978,3.072
3829.129,3.386,3.010,3.478
3830.011,4.295,3.045,3.858
3830.893,2.976,3.054,4.131
3831.775,3.107,3.038,4.341
3832.657,3.776,3.003,4.543
3833.540,2.541,2.983,4.468
3834.423,4.441,3.017,3.647
3835.306,2.282,2.977,3.768
3836.189,2.046,2.996,3.476
3837.072,2.497,2.989,3.131
3837.956,2.409,2.962,2.957
3838.840,2.654,2.969,2.949
3839.724,2.273,2.969,2.942
3840.608,2.707,3.031,2.782
3841.493,3.232,2.996,2.920
3842.377,2.829,2.967,3.113
3843.262,2.362,2.958,3.130
3844.147,3.604,2.929,3.084
3845.032,5.374,2.941,3.202
3845.918,1.651,2.968,3.399
3846.803,2.113,2.985,3.465
3847.689,3.170,2.959,3.243
3848.575,2.442,2.958,3.059
3849.462,2.667,2.990,2.942
3850.348,3.483,2.919,2.913
3851.235,3.362,2.968,2.966
3852.122,2.178,2.979,3.013
3853.009,2.958,2.992,2.669
3853.896,3.898,3.013,2.719
3854.784,2.447,3.000,2.763
3855.671,4.084,2.971,2.761
3856.559,3.561,2.986,2.603
3857.447,3.622,2.971,2.346
3858.336,3.047,2.970,2.277
3859.224,2.611,2.983,2.092
3860.113,4.254,2.975,1.941
3861.002,4.611,2.965,1.919
3861.891,2.438,3.009,2.437
3862.780,3.344,2.962,2.836
3863.670,4.083,2.941,2.867
3864.560,2.819,2.967,2.562
3865.449,2.211,2.979,2.444
3866.340,3.332,2.990,2.370
3867.230,1.680,2.972,2.343
3868.121,3.142,2.962,2.424
3869.011,3.559,2.986,2.441
3869.902,1.998,3.009,2.392
3870.793,1.769,3.010,2.199
3871.685,1.281,3.035,1.865
3872.576,3.796,3.031,1.729
3873.468,2.716,2.977,1.929
3874.360,2.746,2.999,2.041
3875.252,4.025,3.064,2.472
3876.145,2.371,3.048,2.884
3877.037,2.128,2.962,2.904
